"DateTime","Players","Average Players","Flags"
"2023-02-04 00:00:00",11213,6811,
"2023-02-05 00:00:00",10957,6530,
"2023-02-06 00:00:00",8463,4855,
"2023-02-07 00:00:00",8340,4698,
"2023-02-08 00:00:00",8347,4667,
"2023-02-09 00:00:00",9059,5033,
"2023-02-10 00:00:00",9844,5547,
"2023-02-11 00:00:00",10616,6381,
"2023-02-12 00:00:00",10269,6090,
"2023-02-13 00:00:00",8481,4680,
"2023-02-14 00:00:00",8169,4475,
"2023-02-15 00:00:00",8377,4460,
"2023-02-16 00:00:00",8726,4632,
"2023-02-17 00:00:00",9455,5087,
"2023-02-18 00:00:00",10096,5863,
"2023-02-19 00:00:00",9570,5503,
"2023-02-20 00:00:00",8052,4093,
"2023-02-21 00:00:00",7924,3980,
